objectid,filename,title,creator,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
silver-gold001,silvergold_001.jpg,Silver and Gold Book edge detail [01],University of Idaho Visual Productions,2023,2023,"Close up detail of one long edge of object, featuring an etched scene of a miner with pack mules. Underside of lock and velvet interior of box also pictured. ",decorative art; mining; jewelry boxes; gold (metal); silver (metal),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_001,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_001.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_001_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_001_th.jpg
silver-gold002,silvergold_002.jpg,Silver and Gold Book cover [01],University of Idaho Visual Productions,2023,2023,"Front cover or top lid of object. Engraving of original Administration Building in silver. Encircled by shafts of wheat. Engraving at top reads ""Esto Perpetua"" or ""Let it be perpetual."" Engraving at bottom reads ""Idaho the Gem of the Mountains."" Four corners feature golden reliefs of four important industries in early Idaho history, mining, hunting, timber, and agriculture. Ten rubies and one opal are set along the edges. ",decorative art; mining; hunting; farming (activity or system); lumber; jewelry boxes; gold (metal); silver (metal),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_002,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_002.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_002_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_002_th.jpg
silver-gold003,silvergold_006.jpg,Silver and Gold Book standing on edge,University of Idaho Visual Productions,2023,2023,"Jewelry box is sitting on bottom edge as if it is a book. Edge is styled as a book spine, featuring a silver relief of pine cones, the Idaho state seal (the only state seal designed by a woman), and the dates 1863 (the year Idaho Territory was created) and 1893 (the year of the exposition). Front cover features etching of original Administration Building, gold reliefs of wheat shafts and representations of industries that were important to early Idaho's development.  ",decorative art; mining; hunting; farming (activity or system); lumber; jewelry boxes; gold (metal); silver (metal),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_006,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_006.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_006_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_006_th.jpg
silver-gold004,silvergold_007.jpg,Silver and Gold Book edge detail [02],University of Idaho Visual Productions,2023,2023,"Close up detail of one long edge of object, featuring an etched scene of a miner with pack mules. Jewelry box lid is closed and side view of front design is visible. ",decorative art; mining; jewelry boxes; gold (metal); silver (metal),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_007,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_007.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_007_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_007_th.jpg
silver-gold005,silvergold_008.jpg,Silver and Gold Book cover detail [01],University of Idaho Visual Productions,2023,2023,Close up detail of jewelry box cover corner featuring golden relief of logs and an ax. ,decorative art; lumber; jewelry boxes; gold (metal); silver (metal),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_008,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_008.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_008_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_008_th.jpg
silver-gold006,silvergold_009.jpg,Silver and Gold Book cover detail [02],University of Idaho Visual Productions,2023,2023,"Close up detail of jewelry box cover corner featuring golden relief of a mining pick and shovel, along with a latern. ",decorative art; mining; jewelry boxes; gold (metal); silver (metal),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_009,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_009.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_009_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_009_th.jpg
silver-gold007,silvergold_011.jpg,Silver and Gold Book cover [02],University of Idaho Visual Productions,2023,2023,Top lid of jewelry box photographed from an angle to see long edge of box and clasp. ,decorative art; mining; jewelry boxes; gold (metal); silver (metal),"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_011,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_011.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_011_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_011_th.jpg
silver-gold008,silvergold_012.jpg,Silver and Gold Book cover detail [03],University of Idaho Visual Productions,2023,2023,"Close up detail of jewelry box cover featuring golden relief of scroll that is etched with the words ""Esto Perpetua"" (Let it be perpetual) which is the state motto of Idaho. ",decorative art; jewelry boxes; gold (metal); silver (metal); Idaho,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_012,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_012.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_012_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_012_th.jpg
silver-gold009,silvergold_013.jpg,Silver and Gold Book cover detail [04],University of Idaho Visual Productions,2023,2023,"Close up detail of jewelry box cover featuring golden relief of scroll that is etched with the words ""Idaho the Gem of the Mountains"" ",decorative art; jewelry boxes; gold (metal); silver (metal); Idaho,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_013,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_013.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_013_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_013_th.jpg
silver-gold010,silvergold_014.jpg,Silver and Gold Book edge detail [03],University of Idaho Visual Productions,2023,2023,Close up detail of one short edge of object which appears as the bottom edge of the book. Featuring an etched scene of a train pulling both freight and passenger cars. ,decorative art; jewelry boxes; gold (metal); silver (metal); freight trains; passenger trains,"Moscow, Idaho",,,"Silver and Gold Book, President's Office",silvergold_014,Image;StillImage,,image/jpeg,,,,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/silver-gold/silvergold_014.jpg,https://objects.lib.uidaho.edu/silver-gold/small/silvergold_014_sm.jpg,https://objects.lib.uidaho.edu/silver-gold/thumbs/silvergold_014_th.jpg
